id;utterance;intent;confidence;gc_response;entity_response
1;Bolivar bottom-line;Focused collaboration;deposit;Steel;violet disintermediate Indiana
2;e-business;Namibia HDD;cyan withdrawal Cross-group;Organized Borders bus;Lithuania Music
3;Loan Division neural-net;Berkshire input SDD;FTP blockchains B2B;payment;value-added microchip
4;Corporate neural;Passage United;Chicken;Keyboard navigate Rustic;Investment
5;Cambridgeshire;Soft;Salad;Account Developer Kansas;Integrated parse Small
6;Rubber;District Cambridgeshire;Metal hacking;Plastic Plastic compressing;JSON
7;Borders clear-thinking Montserrat;Future Dobra;SMS Kip;intuitive;input
8;copy Fundamental;microchip Central;orange;toolset;Account Central Utah
9;Computer calculate;Minnesota;Brook invoice Glen;Optimization Customer;Shirt
10;Polarised online Handmade;drive Mouse;lavender;Intelligent;Solutions Table
